"Force Accounting Date","Inventory Reference","Inventories/Location","Inventories / Product","Inventories / ProductName","Inventories / Checked Quantity","Inventories / Product Unit of Measure"
,,"Physical Locations/WH/Stock","13170-0073","Sun Kacang Hijau Box 120 Gr","329","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0074","Super Bubur Abon 45 Gr","223","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0075","Super Bubur Ayam 45 Gr","155","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0076","Tango Wafer Cappucino 76 Gr","371","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0077","Taro Cheese Blast 40G","310","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0078","Taro Curly Fries 40G","263","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0079","Tim Tam Biskuit Vanilla 60Gr","246","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0080","Top Strawberry 20Gr","244","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0081","Twisko Premium 48 Gr","263","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0082","Twisko Premium 80G","323","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0083","Twister Minis Black 80Gr","394","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0084","Ubm Mini Assorted","16","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0085","Ubm Pineaple 24","491","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0086","Van Houten Choco Almound 150G","142","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0001","Adem Sari Hanger 24","269","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0002","Wong Coco Nata De Coco Cp 1000","277","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0003","Wong Coco Nata De Coco Lc 1000","134","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0004","Anmum Materna 400G","400","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0005","Anmum Materna Coklat 400Gr","361","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0006","Chil Mil Platinum 400G","356","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0007","Chil School Coklat 200Gr","224","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0008","Chil School Coklat 800Gr","270","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0009","Chil School Plat Choco 400Gr","190","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0010","Chil School Plat Coklat 400Gr","318","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0011","Chil School Plat Madu 800Gr","189","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0012","Chil School Straw 200Gr","122","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0013","Coca Cola Zero","426","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0014","Cornet Beef Cip Mushroom 340G","379","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0015","Cornetto Disk Strwchesse 120Ml","96","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0016","Cornetto Mini Bscoth&Cho 28Ml","260","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0017","Cornetto Mini Choc&Tirami 28Ml","443","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0018","Cornetto Mini Mango&Berry 28","115","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0019","Marjan Fruit Punch 600 Ml","355","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0020","Marjan Jambu Squash","372","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0021","Marjan Leci","497","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0022","Marjan Lemon","383","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0023","Marjan Milk Rose 600Ml","158","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0024","Marjan Moca 600 Ml","249","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0025","Milo 3 In 1 Pilybag 35Gr","296","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0026","Milo 3In 1 Sac 35 Gr","219","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0027","Milo Act-E 150G","412","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0028","Milo Act-E Sas 14G","314","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0029","Milo Choco Bar 12 G","346","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0030","Milo Sereal 32Gr","136","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0031","Mizone Isotonic Cocopina 500Ml","339","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0032","Nescafe Clasic Pack","305","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0033","New Item","145","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0034","New Vitalac 1 Van 800Gr","273","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0035","New Vitalac 3+ Madu 800Ml","492","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0036","Nutrilon 4 Soya Vanila 400 G","102","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0037","Nutrilon Royal 3 Madu 400","235","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0038","Nutrilon Royal 3 Van 400Gr","93","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0039","Nutrisari American Orange 14Gr","460","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0040","Nutrisari Swet Guava 11Gr","125","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0041","Nutrisari Swet Mango 11Gr","114","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0042","Nutrive Benecol Orange 100Ml","127","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0043","Pocari Sweet Pet 500 Ml","494","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0044","Pondan Ice Cream Neopolitan","479","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0045","Pondan Ice Cream Tiramissu 150","405","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0046","Pop Drink Blackberry 8G","11","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0047","Pop Drink Grape","152","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0048","Pop Drink Kelapa Muda","185","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0049","Pop Drink Srtrawberry","214","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0050","Pop Drink Tamarin","250","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0051","Pop Ice Avocado Cappuccino 25G","348","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0052","Pop Ice Blender Vanila Late 25","197","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0053","Pop Ice Capucino Durian 25 Gr","465","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0054","Pop Ice Coffee Moccacino 25G","382","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0055","Pop Ice Fruity Pop Orange Flav","367","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0056","Pren Mommy Mocha 200 Gr","212","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0057","Prenagen Emisis Cho 200Gr","333","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0058","Prenagen Esensis Coklat 180G","250","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0059","Prenagen Mommy Cho 400 Gr","411","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0060","Prenagen Mommy Coklat 200 G","325","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0061","Prenagen Mommy Strawberry 400","331","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0062","Prengen Mommy Straw 600Gr","181","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0063","Pulpy Aloe Vera 350 Ml","482","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0064","S-26 Procal Gold 1-3 14Kg","346","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0065","S-26 Procal Gold 1-3 400Gr","495","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0066","S-26 Procal Gold 1-3 900Gr","192","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0067","S-26 Promise Gold 1.4 Kg","47","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0068","S26 Promise Gold 700G","104","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0069","Sari Asem Asli 250Ml","126","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0070","Sgm Soya 4 Madu 400Gr","291","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0071","Siropen Telasih Manggis","434","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0072","Tebs Pet Maroon 500 Ml","239","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0073","Tebs Pet Reguler 500 Ml","64","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0074","Teh Bendera Celup 25 S","246","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0075","Teh Botol Sosro Jasmine 500Ml","489","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0076","Teh Cap Btl Hijau Celup","158","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0077","Teh Celup 25 Black Tea 10 Ball","108","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0078","Teh Celup Sosro Black Tea","246","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0079","Teh Celup Sosro Black Tea 36","408","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0080","Teh Celup Sosro Black Tea 50","288","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0081","Teh Gelas Jumbo 330Ml","126","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0082","Teh Poci Vanila 25Gr","399","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0083","Teh Poci Vanila 50","369","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0084","Teh Serr Teh Kundur","206","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0085","Teh Serr Teh Seger","376","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0086","Teh Sisri Apel","365","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0087","Tipco Kiwi 1 L","300","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0088","Top Black & White","440","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0089","Top Ice Kacang Hijau","85","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0090","Top Ice Kopi","433","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0091","Ultra Milk Chocolate 250 Ml","433","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0092","Ultra Milk Mocca 250 Ml","220","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0093","Ultra Milk Plain 250Ml","60","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0094","Ultra Milk Strawberry 250Ml","404","Unit(s)"
,,"Physical Locations/WH/Stock","13180-0095","Vitalac Vanila 900G","132","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0001","Pro Mild","450","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0002","Avolution Mrh","380","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0003","Dji Sam Soe 12","273","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0004","G Mild","240","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0005","Gudang Garam Filter 12","322","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0006","Marlboro Ice Blex","52","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0007","Marlboro Menthol Like","480","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0008","Marlboro Mrh 500","101","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0009","Marlboro Putih 500","306","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0010","Promild 16 Kretek","273","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0011","Sampoerna Mild","444","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0012","Surya 12","450","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0013","Surya 16","144","Unit(s)"
,,"Physical Locations/WH/Stock","13160-0014","U-Mild","400","Unit(s)"
